provstate,city,attacktype1_txt,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1_txt,weaptype1_txt,weapsubtype1_txt
Balochistan,Mondrani Pat,Bombing/Explosion,Terrorists/Non-State Militia,94,Non-State Militia,Aman Lashkars,Camp,Pakistan,Explosives/Bombs/Dynamite,Land Mine
Khyber Pakhtunkhwa,Hazar Khwani,Bombing/Explosion,Religious Figures/Institutions,87,Affiliated Institution,Panji Peer Shrine,Shrine,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Balochistan,Quetta,Bombing/Explosion,Religious Figures/Institutions,86,Place of Worship,Farooqia Mosque,Mosque,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,South Waziristan district,Bombing/Explosion,Military,35,Military Transportation/Vehicle (excluding convoys),Pakistan Army,Vehicle,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Sohbatpur,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Motorcycle,Pakistan,Explosives/Bombs/Dynamite,Land Mine
Khyber Pakhtunkhwa,Badaber,Bombing/Explosion,Utilities,107,Electricity,Peshawar Electric Supply Company (PESCO),Electricity Towers,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Nag,Armed Assault,Police,22,"Police Building (headquarters, station, school)",Balochistan Levies,Checkpost,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Shahab Khel,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Shops,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Upper Dir district,Armed Assault,Police,22,"Police Building (headquarters, station, school)",Levies Forces,Checkpost,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Wahid Gari,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Pakistani Police,Patrol,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Nag,Armed Assault,Police,22,"Police Building (headquarters, station, school)",Levies Forces,Checkpost,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Miran Shah,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Frontier Corps (FC),Tochi Scouts Camp,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Federally Administered Tribal Areas,Kharsha,Bombing/Explosion,Police,22,"Police Building (headquarters, station, school)",Levies Forces,Border Post,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Khyber Pakhtunkhwa,Ghulam Banda,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Government of Pakistan,Girls' High School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Sariab,Armed Assault,Business,7,Retail/Grocery/Bakery,Unknown,Laundry Shop,Pakistan,Firearms,Automatic Weapon
Balochistan,Soro,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Frontier Corps (FC),Checkpost,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Balochistan,Bakra Mandi,Armed Assault,Police,23,Police Patrol (including vehicles and convoys),Pakistani Police,Patrol,Pakistan,Firearms,Unknown Gun Type
Sindh,Nagan Chowrangi,Armed Assault,Police,23,Police Patrol (including vehicles and convoys),Pakistani Police,Van,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Upper Dir district,Hostage Taking (Kidnapping),Military,34,"Military Personnel (soldiers, troops, officers, forces)",Pakistan Army,Soldiers,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Masool Koroona,Bombing/Explosion,Government (General),18,"Government Personnel (excluding police, military)",Government of Ekkaghund,House of Former Tehsildar: Zabita Khan,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Upper Dir district,Armed Assault,Military,29,Military Unit/Patrol/Convoy,Pakistan Army,Security Forces: Patrol,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Bannu,Bombing/Explosion,Private Citizens & Property,84,Political Party Member/Rally,Jamiat Ulema-e-Islam (JUI),District Leader: Naseeb Nawaz Khan,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Peshawar,Hostage Taking (Kidnapping),Terrorists/Non-State Militia,94,Non-State Militia,Bazidkhel Qaumi Lashkar,Members,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Miran Shah,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Pakistan Armed Forces,Camp,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Balochistan,Sibi,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,Jaffar Express Train,Train,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Khyber Pakhtunkhwa,Barawal,Armed Assault,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Pakistan Armed Forces,Security forces,Pakistan,Firearms,Unknown Gun Type
Punjab,Faisalabad,Facility/Infrastructure Attack,Government (General),21,Government Building/Facility/Office,Child Protection and Welfare Bureau (CPWB),CPWB offices,Pakistan,Unknown,.
Sindh,Karachi,Armed Assault,Religious Figures/Institutions,87,Affiliated Institution,Ahle Sunnat Wal Jamaat (ASWJ),Secretary of Information: Maulana Aurangzeb Farooqui,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Lower Dir,Hostage Taking (Kidnapping),Terrorists/Non-State Militia,94,Non-State Militia,Aman Lashkar,Members,Pakistan,Unknown,.
Balochistan,Hazaraganji,Bombing/Explosion,Private Citizens & Property,69,Religion Identified,Not Applicable,Pilgrims,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Khyber Pakhtunkhwa,Bara,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Frontier Corps (FC),Convoy,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Balochistan,Kamalloo,Bombing/Explosion,Business,3,Bank/Commerce,Unknown,Bank Vehicle,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Federally Administered Tribal Areas,Aka Khel district,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Government of Pakistan,Boys' Primary School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Landi Kotal,Bombing/Explosion,Terrorists/Non-State Militia,94,Non-State Militia,Aman Lashkar,Members,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Khyber Pakhtunkhwa,Surizai Bala,Bombing/Explosion,Religious Figures/Institutions,87,Affiliated Institution,Not Applicable,Shrine of Haji Mian Gee Nika Baba,Pakistan,Explosives/Bombs/Dynamite,Time Fuse
Balochistan,Mach,Bombing/Explosion,Military,39,Paramilitary,Frontier Corps (FC),Soldiers,Pakistan,Explosives/Bombs/Dynamite,Land Mine
Balochistan,Dera Bugti,Bombing/Explosion,Religious Figures/Institutions,86,Place of Worship,Jamia Mosque,Mosque,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Khyber Pakhtunkhwa,Dhand,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Frontier Corps (FC),Naway Dhand Checkpost,Pakistan,Firearms,Automatic Weapon
Federally Administered Tribal Areas,Awesha,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Khyber Pakhtunkhwa,Upper Dir district,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Pakistan Armed Forces,Karakar Checkpost,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Matta Shah,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Government of Pakistan,Girls' School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Mattani,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Al-Qalam Public School,School,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Balochistan,Sui,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Shop,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Shop,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Skaikhan,Armed Assault,Police,24,Police Checkpoint,Pakistani Police,Sheikhan Checkpoint,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Badaber,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Unknown,Market,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Balochistan,Sui,Bombing/Explosion,Terrorists/Non-State Militia,94,Non-State Militia,Aman Lashkar,Security Camp,Pakistan,Explosives/Bombs/Dynamite,Land Mine
Khyber Pakhtunkhwa,Upper Dir,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Pakistan Armed Forces,Checkpost,Pakistan,Firearms,Unknown Gun Type
Balochistan,Pir Koh,Bombing/Explosion,Utilities,106,Gas,Unknown,Gas Pipeline,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,SSP Railways,Railway Track,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Sindh,Karachi,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,SSP Railways,Railway Track,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Darra Adam Khel,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,"Government Primary School for Boys, Darra Village",School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Surab,Armed Assault,Police,22,"Police Building (headquarters, station, school)",Levies Forces,Checkpost,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Mohib Banda,Bombing/Explosion,Police,22,"Police Building (headquarters, station, school)",Pakistani Police,Checkpost,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Federally Administered Tribal Areas,Nawagai,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Frontier Corps (FC),Patrol,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Federally Administered Tribal Areas,Nawagai,Bombing/Explosion,Unknown,,.,Unknown,Unknown,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Tank,Assassination,Private Citizens & Property,84,Political Party Member/Rally,Awami National Party (ANP),District President: Khan Ghul Bhattani,Pakistan,Firearms,Unknown Gun Type
Sindh,Karachi,Armed Assault,Violent Political Party,109,Party Official/Candidate/Other Personnel,Pakistan People's Party (PPP),Worker: Shahid Ahmed,Pakistan,Firearms,Unknown Gun Type
Sindh,Karachi,Assassination,Violent Political Party,109,Party Official/Candidate/Other Personnel,Pakistan People's Party (PPP),Cultural Wing President: Muhammad Saleem Awan Khan,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Gali Bagh Wali,Armed Assault,Police,23,Police Patrol (including vehicles and convoys),Pakistani Police,Patrol Vehicle,Pakistan,Explosives/Bombs/Dynamite,Grenade
Balochistan,Mar Gat,Hostage Taking (Kidnapping),Private Citizens & Property,77,Laborer (General)/Occupation Identified,Not Applicable,Doctor: Haider Ali,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Jamrud,Assassination,NGO,61,Domestic NGO,Society for Appraisal and Woman Empowerment in Rural Areas,Founder Farida Afridi,Pakistan,Firearms,Unknown Gun Type
Punjab,Lahore,Assassination,Government (General),18,"Government Personnel (excluding police, military)",Government of Punjab,Chief Security Officer of Chief Minister Shahbaz Sharif: Major Retd Maaz,Pakistan,Explosives/Bombs/Dynamite,Sticky Bomb
Balochistan,Kachlak,Assassination,Government (General),18,"Government Personnel (excluding police, military)",Government of Balochistan,Assistant Director of Local Government: Muhammad Saeed Khan,Pakistan,Firearms,Unknown Gun Type
Balochistan,Sui,Bombing/Explosion,Terrorists/Non-State Militia,94,Non-State Militia,Aman Lashkar,Members,Pakistan,Explosives/Bombs/Dynamite,Land Mine
Balochistan,Turbat,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Aka Khel district,Bombing/Explosion,Terrorists/Non-State Militia,93,Terrorist,Lashkar-e-Islam (LeI),Members,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Police,25,Police Security Forces/Officers,Pakistani Police,Officers,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Federally Administered Tribal Areas,Kalaya,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Pakistan Armed Forces,Convoy,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Sariab,Assassination,Private Citizens & Property,69,Religion Identified,Not Applicable,Religious scholar Maulvi Abdul Qasim,Pakistan,Firearms,Unknown Gun Type
Balochistan,Soorang,Hostage Taking (Kidnapping),Private Citizens & Property,77,Laborer (General)/Occupation Identified,Not Applicable,Coal Miner,Pakistan,Firearms,Unknown Gun Type
Sindh,Karachi,Assassination,Government (General),20,Intelligence,Pakistan Intelligence Community (PIC),Deputy Director: Qamar Reza,Pakistan,Firearms,Handgun
Khyber Pakhtunkhwa,Pushtakhara,Bombing/Explosion,Police,25,Police Security Forces/Officers,Pakistani Police,Officers,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Islamabad Capital Territory,Islamabad,Armed Assault,Police,24,Police Checkpoint,Pakistani Police,Checkpoint,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Tiyarza,Armed Assault,Military,29,Military Unit/Patrol/Convoy,Pakistan Armed Forces,Convoy,Pakistan,Firearms,Unknown Gun Type
Balochistan,Bolan district,Armed Assault,Police,25,Police Security Forces/Officers,Pakistani Police,Police manning a barrier,Pakistan,Firearms,Unknown Gun Type
Sindh,Surjani,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Pakistan,Firearms,Unknown Gun Type
Punjab,Wazirabad,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Pakistan Army,Camp,Pakistan,Explosives/Bombs/Dynamite,Grenade
Punjab,Wazirabad,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Pakistan Army,Camp,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Federally Administered Tribal Areas,Kurram,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Civilians boarding a bus,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Sohan,Bombing/Explosion,Business,1,Gas/Oil,Unknown,Oil and Gas Exploration Company,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Federally Administered Tribal Areas,Landi Kotal,Bombing/Explosion,Unknown,,.,Unknown,Unknown,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Badaber,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Government of Pakistan,Boys' Primary School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Kalat,Bombing/Explosion,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Not Applicable,Garden,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Juma Khan,Bombing/Explosion,Government (General),21,Government Building/Facility/Office,Government of Mulagori,Convoy of Tehsildar,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Balochistan,Quetta,Hostage Taking (Kidnapping),Educational Institution,49,School/University/Educational Building,Jamia Salifa Seminary,"Habibullah, seminary principal",Pakistan,Firearms,Unknown Gun Type
Sindh,Karachi,Bombing/Explosion,Government (General),18,"Government Personnel (excluding police, military)",Pakistan Space and Upper Atmosphere Research Commission,Bus carrying SUPARCO employees,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Federally Administered Tribal Areas,Safi,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Government Middle School for Boys,School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Shubatpur,Bombing/Explosion,Police,22,"Police Building (headquarters, station, school)",Pakistani Police,Post,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Balochistan,Quetta,Assassination,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Pakistan,Melee,Knife or Other Sharp Object
Punjab,Lahore,Armed Assault,Police,26,Prison/Jail,Punjab Jail Academy,Prison guard trainees,Pakistan,Explosives/Bombs/Dynamite,Grenade
Khyber Pakhtunkhwa,Peshawar,Bombing/Explosion,Business,11,Entertainment/Cultural/Stadium/Casino,Unknown,Movie Theater,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Kitkot,Hostage Taking (Barricade Incident),Terrorists/Non-State Militia,94,Non-State Militia,Unknown,Militia Members,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Sindh,Karachi,Assassination,Private Citizens & Property,84,Political Party Member/Rally,Awami National Party (ANP),Local Chapter Vice President: Taj Mohammad,Pakistan,Firearms,Unknown Gun Type
Balochistan,Kuchlak,Bombing/Explosion,Private Citizens & Property,84,Political Party Member/Rally,Awami National Party (ANP),Rally,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Federally Administered Tribal Areas,Tirah district,Bombing/Explosion,Private Citizens & Property,84,Political Party Member/Rally,Not Applicable,Activists of tawlheed ul Islam,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Khyber Pakhtunkhwa,Kohat,Bombing/Explosion,Business,8,Hotel/Resort,Grace Hotel,Hotel,Pakistan,Explosives/Bombs/Dynamite,Grenade
Balochistan,Quetta,Armed Assault,Private Citizens & Property,84,Political Party Member/Rally,Awami National Party (ANP),Party Workers,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Tirah district,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Federally Administered Tribal Areas,Zakhtan,Facility/Infrastructure Attack,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Tribal elders' homes,Pakistan,Incendiary,Arson/Fire
Federally Administered Tribal Areas,Bango,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Home of tribal elder Meena Baz,Pakistan,Explosives/Bombs/Dynamite,Dynamite/TNT
Federally Administered Tribal Areas,Balishkhel,Bombing/Explosion,Private Citizens & Property,68,Named Civilian,Not Applicable,Civilian: Younas Ali,Pakistan,Explosives/Bombs/Dynamite,Land Mine
Punjab,Toba Tek Singh,Armed Assault,Private Citizens & Property,69,Religion Identified,Not Applicable,Shiite Pilgrims,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Jandol,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Masho Khel Government High School,School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Jandol,Armed Assault,Police,24,Police Checkpoint,Pakistani Police,Checkpoint,Pakistan,Firearms,Unknown Gun Type
Sindh,Quaidabad,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Pakistan Rangers,Patrol,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Bara Shaikhan,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Balochistan,Zehri,Assassination,Violent Political Party,109,Party Official/Candidate/Other Personnel,Pakistan Muslim League: Nawaz (PML-N),Leader: Ameenullah Zehri,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Bannu,Hostage Taking (Barricade Incident),Police,22,"Police Building (headquarters, station, school)",Pakistani Police,Police Station,Pakistan,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being)
Sindh,Karachi,Bombing/Explosion,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Pakistan Rangers,Pakistan Rangers,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Sardheri,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Unknown,School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Sardheri,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,"Government Primary School, Charsadda",School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Armed Assault,Government (Diplomatic),47,"International Organization (peacekeeper, aid agency, compound)",World Health Organization (WHO),Polio Vaccination Vehicle,International,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Thal,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Pakistan Army,Checkpost,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Federally Administered Tribal Areas,Khar,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Frontier Corps (FC),Training Camp,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Khyber Pakhtunkhwa,Gulbaz Dehqan,Bombing/Explosion,Utilities,107,Electricity,Unknown,Power Pylons,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Sepoy,Bombing/Explosion,Private Citizens & Property,69,Religion Identified,Not Applicable,Shiite Civilians,Pakistan,Explosives/Bombs/Dynamite,Land Mine
Balochistan,Khuzdar,Bombing/Explosion,Business,8,Hotel/Resort,Unknown,Hotel,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Military,35,Military Transportation/Vehicle (excluding convoys),Pakistan Rangers,Ranger van,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Balochistan,Kalat,Bombing/Explosion,Police,22,"Police Building (headquarters, station, school)",Levies Forces,Levie thana (station),Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Sindh,Karachi,Armed Assault,Private Citizens & Property,77,Laborer (General)/Occupation Identified,Not Applicable,Shop Owners,Pakistan,Firearms,Automatic Weapon
Balochistan,Chamalang,Bombing/Explosion,Unknown,,.,Unknown,Unknown,Pakistan,Explosives/Bombs/Dynamite,Land Mine
Balochistan,Chamalang,Armed Assault,Police,24,Police Checkpoint,Pakistani Police,Checkpoint,Pakistan,Firearms,Unknown Gun Type
Sindh,Karachi,Armed Assault,Police,23,Police Patrol (including vehicles and convoys),Pakistani Police,Patrol,Pakistan,Firearms,Unknown Gun Type
Khyber Pakhtunkhwa,Arandu,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Pakistan Armed Forces,Checkposts,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Sindh,Sherpao Colony,Assassination,Private Citizens & Property,84,Political Party Member/Rally,Awami National Party (ANP),Local Leader: Fazal Ameen,Pakistan,Firearms,Unknown Gun Type
Federally Administered Tribal Areas,Sarband,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Pakistani Police,Van,Pakistan,Explosives/Bombs/Dynamite,Grenade
Federally Administered Tribal Areas,Pahari Pur,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Pakistani Police,Van,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Sindh,Albela Chowk,Armed Assault,Police,25,Police Security Forces/Officers,Pakistani Police,Officers,Pakistan,Firearms,Automatic Weapon
Sindh,Karachi,Bombing/Explosion,Police,24,Police Checkpoint,Pakistani Police,Kiosk,Pakistan,Explosives/Bombs/Dynamite,Grenade
Khyber Pakhtunkhwa,Mattani,Bombing/Explosion,Police,25,Police Security Forces/Officers,Pakistani Police,Police mobile van,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Gadap,Armed Assault,Government (Diplomatic),47,"International Organization (peacekeeper, aid agency, compound)",World Health Organization (WHO),Pakistani Doctor: Ishaq Kakar,International,Firearms,Handgun
Federally Administered Tribal Areas,Safi,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Government of Pakistan,Boys' Primary School,Pakistan,Explosives/Bombs/Dynamite,Grenade
Federally Administered Tribal Areas,Safi,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Government of Pakistan,Boys' Primary School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,White House Grammar School,School,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Khyber Pakhtunkhwa,Badaber,Bombing/Explosion,Educational Institution,49,School/University/Educational Building,Government High School for Boys,School,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Orakzai district,Bombing/Explosion,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Pakistan Armed Forces,Soldier: Zar Saeed Afridi,Pakistan,Explosives/Bombs/Dynamite,Land Mine
Balochistan,Kurram,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Shalozan,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,House,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Federally Administered Tribal Areas,Shalozan,Bombing/Explosion,Private Citizens & Property,69,Religion Identified,Not Applicable,Bashir Hussain,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Balochistan,Gwadar,Armed Assault,Military,36,Military Checkpoint,Pakistan Coast Guards (PCG),Checkpoint,Pakistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)"
Punjab,Dukki,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Child,Pakistan,Explosives/Bombs/Dynamite,Other Explosive Type
Federally Administered Tribal Areas,Spin Thal,Bombing/Explosion,Terrorists/Non-State Militia,94,Non-State Militia,Unknown,Militia Leader: Nabi Hanfi,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Khyber Pakhtunkhwa,Sheringal,Bombing/Explosion,Terrorists/Non-State Militia,94,Non-State Militia,Unknown,Militia Members,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Khyber Pakhtunkhwa,Lower Dir,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Pakistani Police,Patrol,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Balochistan,Sariab,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,Pakistan Railways,Railway Track,Pakistan,Explosives/Bombs/Dynamite,Remote Trigger
Sindh,Karachi,Assassination,Police,25,Police Security Forces/Officers,Criminal Investigation Department (CID),Deputy Superintendent of Police: Israr Awan,Pakistan,Firearms,Handgun
